CAL,mini,maxi,frq
"0",,,0.0191227743326325
1a,0.659340659340659,11.0928904797501,0.11851595560642
1b,11.0937812670081,28.7130698392984,0.233937934154845
"2",28.7137912617525,65.9799668628231,0.281066191147899
"3",65.983193015966,104.06671380918,0.147499534240013
"4",104.069720876941,132.992960331109,0.0781478721422298
"5",133.000717292506,155.718755762754,0.0445200010645943
6a,155.719215063303,201.606158512876,0.0484523460995928
6b,201.613265719025,556.442794273486,0.0287373912117744
,,,0.0609480211854257
